新闻内容,新闻类别
交警大队副大队长被送违纪＂喜报＂ 纪委介入调查,国内
陕西汉中出现罕见＂日晕＂景象 光环笼罩太阳四周,国内
王健林回应西班牙大厦事件拆迁是世界难题,国内
台媒韩国推出新雪糕 含药草萃取物可解宿醉,国内
大批旅客滞留深圳福田口岸 传有人打伤警察,国内
百度贴吧全面清查盗版 关闭数千个文学类目贴吧,国内
河北确诊1例人感染H7N9病毒病例 患者病情较重,国内
四川凉山州木里县发生3.4级地震 震源深度12千米,国内
四川凉山州木里县附近发生3.6级左右地震,国内
武汉5万只萤火虫将点亮华中首家夜间动物园(图),国内
泰安调生育保险待遇 女职工生育津贴按158天计算,国内
男子17岁被控杀人 17年后重审怕父母重判未上诉,国内
警方撤销湖南＂被服刑＂农民陈俊杰＂犯罪记录＂,国内
昌平路口车祸致1死1伤 假出租车司机已自首,国内
重庆5人因食品安全责任落实不到位被追责,国内
湖南祁阳县政法委书记从宾馆坠楼 暂无生命危险,国内
台湾新当局首个政治决策对＂太阳花学运＂人士撤 ,国内
台媒大陆滥用抗生素 恐将致每年百万人早死,国内
台湾新当局宣布对126名＂太阳花学运＂人士撤告,国内
中国品牌匹克体育今早停牌 或涉及私有化计划,国内
中国自然保护区面积达国土14.83% 超世界水平,国内
港媒关注＂华为跑了＂刷爆朋友圈＂人为制造撕裂＂,国内
公司为法人代表借贷担保 被转让仍承担连带责任,国内
委国政局动荡后的媒体战政府对抗私媒、外媒,国内
中国网络消费成经济＂压舱石＂城会玩 村爱买,国内
马英九卸任居＂陋室＂ 与台历任＂总统＂豪宅成对比,国内
内蒙古大部气温回升 草原鼠害面积达到5876万亩,国内
刘江兼任任西藏自治区党委政法委副书记,国内
张茂于任国家知识产权局副局长和党组成员,国内
天津贪官＂宝爷＂被查 与妻上演贪腐夫妻档,国内
上海严重车祸导致中环通行中断 恢复通行要两周,国内
人民日报＂居者有其屋＂并不等于＂居者有产权＂,国内
广西4名蒙面男子全副武装进村 开枪扫射村民(图),国内
美媒中国尝试谈判降低＂救命药＂价格 最高降67%,国内
云南二级公路山体落石砸中微型小客车致1死6伤,国内
甘肃省2人入选“CCTV年度慈善人物”全国百强,国内
武汉首个公益洗衣服务平台启动 免费洗捐赠衣物,国内
天津东丽原副区长张洪宝违纪 上演贪腐＂夫妻档＂,国内
海洋科考36载 ＂科学一号＂青岛退役(图),国内
官媒刊文谈规范警务执法权运行香港起示范作用,国内
江苏人网购爱首饰化妆品 网络消费5年涨12倍,国内
有干部知道要被开除党籍 主动交最后一个月党费,国内
“清贫贪官”田振玉非典型性受贿职权入股获利,国内
煤炭业最严去产能政策持续发酵 煤价有望上涨,国内
河豚被禁26年有望回归餐桌 保障安全是前提,国内
天津通报一起严重扭曲＂亲＂＂清＂政商关系典型,国内
学霸称考试简单不公平应让不努力的人＂疼一疼＂,国内
＂蛟龙＂号结束雅浦海沟科学应用下潜 最深6579米,国内
今年高校毕业生人数达756万 期望月薪多低于5千,国内
农村隐性辍学教育处罚被抵触 教师被迫无视违纪,国内
武汉涉案金额最大＂反宣币＂案宣判 主犯获刑5年,国内
人民日报仍有地方领导＂防火防盗防记者＂,国内
中纪委查处违反八项规定案例 滥发福利居首,国内
全国6600万户承包土地农民已流转三分之一土地,国内
台军考虑征＂周末战士＂＂平日上班 周末入营＂,国内
京沪高铁夜班车出行当晚即达 开通一周趟趟爆满,国内
强降雨轮番侵袭南方省份 多地启动救灾应急响应,国内
新疆阿图什市发生3.0级地震 震源深度7千米,国内
原师级干部举报国企高管购41套房 实为折抵债务,国内
王健林首度回应西班牙大厦事件拆迁是世界难题,国内
王健林有万达 上海迪士尼20年内无法盈利,国内
揭秘地下微整形药品不知真假 无行医资质就上手,国内
检察机关介入湖南雁北监狱囚犯聚众赌博事件调查,国内
山西大同绑架枪案嫌疑人作案动机是图财(图),国内
媒体盘点薄熙来案发后 薄瓜瓜的7次发声与亮相,国内
水客勾结机场内鬼走私香烟 涉案人员达20名,国内
学者调研男子监狱17%服刑人员曾是留守儿童,国内
辽宁朝阳县相继发生4.6级和4.3级两次地震,国内
四千斤“天下第一太极豆腐”2小时内被抢光(图),国内
辽宁省朝阳市发生4.3级地震 震源深度6千米,国内
党报有党员把自己当作纯粹的网民 热衷传播谣言,国内
山东环保违规项目整改不到位 年底一律关停(图),国内
刘少奇之子刘源向家乡捐赠父亲题词墨迹(图),国内
西藏自治区副主席刘江兼任区党委政法委副书记,国内
400所野鸡大学骗术揭秘标注地址根本不存在,国内
黑龙江特大毒杀候鸟案又抓1名嫌犯追回千枚鸟蛋,国内
江苏检察机关介入监督“交警失联死亡”案,国内
网曝北京门头沟一轿车跌落悬崖 正待救援,国内
纪检干部自述当街遇被查官员遭其挥拳恐吓,国内
湖北钟祥一命案逃犯潜逃23年后投案自首,国内
网络平台曝中国第5批虚假大学 专家建议司法监管,国内
武警甘肃总队原司令邢伟志辞去甘肃人大代表职务,国内
武汉一区政府1400万设备卖70万 称1400万是估价,国内
新疆哈密北部突然降温降雪 天山银装素裹,国内
长江无鱼则成自来水管 中华鲟救助联盟在沪成立,国内
湖南城市学生也可享免费教科书 2016年秋季实行,国内
台湾屏东县发生4.2级地震 震源深度5千米(图),国内
习近平从严治党明规则换潜规则青年党员有干劲,国内
西藏日喀则半日内发生4次地震 最大震级5.3级,国内
西藏日喀则市发生4.1级地震 震源深度6千米,国内
人民日报街区制主要在新小区推 核心非围墙开放,国内
西南地区有较强降雨 北方部分地区有中到大雨,国内
BBC称中国机场准点率全球垫底但迟早比肩西方,国内
浙大120周年校庆公告全篇文言文四教授合力创作,国内
武钢被传闻将与宝钢重组＂中国东钢＂ 武钢否认,国内
四川出台意见贫困村第一书记不得随意撤换调离,国内
台媒剖析新领导人两岸论述技巧性回避九二共识,国内
党报批局地政府办事拖延推诿：别拿走程序当借口,国内
女乘客晕倒机舱 中美医生万米高空上演生死救援,国内
台湾高雄市附近发生4.4级地震 震源深度27千米,国内
浙江全省开展塑胶跑道全面检查 空置期后再使用,国内
村民对村支书不满＂毁其政绩＂破坏600棵树,国内
广东信宜成“雨窝” 6小时雨量达429.5毫米(图),国内
媒体：李小平你怎么总落马 刘德华躺枪,国内
网络消费大数据揭剁手党真面目男人更＂败家＂,国内
媒体曝光北京体检行业乱象：最贵套餐近4万元,国内
广东茂名暴雨致8死4失踪 23个镇55万多人受灾,国内
重庆新规4月1日后结婚的夫妇可休15天婚假,国内
假律师骗老乡近27万 转头被合伙人骗走20余万,国内
温州一小学被曝＂毒跑道＂  学生停课将搬离校区,国内
广东信宜遭超200年一遇暴雨袭击 已致8人死亡,国内
国家质检总局激光笔可对儿童眼睛造成永久伤害,国内
杨绛保姆先生因年纪大了目前在医院调养,国内
港媒内地抢房潮或套牢炒房者 变＂富翁＂无望,国内
媒体盘点烟草系统落马的官员 湖南一年被查14人,国内
云南警方缴获毒品30000克 抓获3名嫌疑人,国内
太原将建成国内首个纯电动出租车城市 车价30万,国内
＂全家腐＂官员王敏妻子被请豪赌 张全儿子收百万,国内
金一南曾向两任总书记建言 ＂红二代＂少将啥来头,国内
马英九卸任第一天 晨跑3公里做80个俯卧撑(图),国内
外媒探访中国体校生源减少 训练让位文化学习,国内
京藏高速青海民和境内连发2起交通事故 4人遇难,国内
薄瓜瓜哥大法学院博士毕业 曾称不想当官经商,国内
国家防总对西南地区等地强降雨防范工作进行部署,国内
东海舰队原副参谋长王建勋履新上海水警区司令员,国内
汉能高层大换血 发声明称＂不要过度解读＂,国内
清华招办主任招生不是看分掐尖 要回归教育本质,国内
郑州一服装厂连续爆炸 多人被困已致6死7伤(图),国内
四川德阳原市委常委副市长杨恩林涉嫌受贿被逮捕,国内
广东强暴雨致重灾区信宜8人死亡4人失踪,国内
常州中院受理常外土地污染公益诉讼,国内
故宫学院西安分院成立 致力于文博专业人才培养,国内
台湾花莲县海域发生4.0级地震 震源深度12千米,国内
＂网红科学家＂韩春雨科学是一件非常酷的事情,国内
＂草原天路＂今起暂停收费 原通知23日停止收费,国内
工商总局积压商标注册证已经发放完毕,国内
莆田系陈新喜被指有假身份 曾因涉毒被抓(图),国内
郑州拆迁户杀人案凶手对拆迁充满敌意 无安全感,国内
湖南监狱被曝囚犯聚众赌博 多名责任人被处理,国内
山西省公安厅交管局原局长涉受贿罪行贿罪被公诉,国内
湖北一人大常委会副主任车祸身亡 官方系意外,国内
国台办：坚持“九二共识”两岸沟通机制才能延续,国内
海协会两会协商联系机制＂九二共识＂为基础,国内
海淘新政确认松绑一年通关单取消 新税率不变,国内
广西梧州人大原副主任受贿案宣判 被判刑6年,国内
湖南落马官员忏悔曾认为作风不检点是一种时尚,国内
广东汕尾市原公安局长任职3年 卖官受贿200万,国内
媒体盘点变、贪、腐、横集于一身的官员都有谁,国内
江西启动防汛Ⅳ级应急响应 迎来暴雨集中期,国内
发改委东北不搞提前退休 民生拨款向东北倾斜,国内
广西政府采购＂假货＂调查遭质疑 问题设备未送检,国内
人民日报台当局新领导人交了一份未完成答卷,国内
新一轮强降水袭击南方 广东茂名洪水漫堤1人失踪,国内
安徽一环保局长车载女子撞来捉奸妻子 已被停职,国内
足协严惩宏兴8人终身禁足 ＂罚单＂落地问题仍待解,国内
气象台发布暴雨蓝色预警 广东海南等5省大到暴雨,国内
河北吴桥研究公务员周六是否上班 说法2天2变,国内
国家谈判成效显著 乙肝肺癌3种药品降价过半,国内
11省“三项医保”已实现由人社部门统一管理,国内
四川阿坝州理县发生3.7级地震 震源深度11千米,国内
国资委副主任谈央企＂瘦身＂该退的没退出(图),国内
张北＂草原天路＂下周起取消收费 政策持续22天,国内
北京出台新规正局级领导配偶禁经商办企业,国内
首批国家药品价格谈判出结果3种药最高降幅67%,国内
商丘警方破获恶性绑架案 5名犯罪嫌疑人被抓,国内
平遥古城违建突出被文物局约谈 建42米摩天轮,国内
从“草原天路”想起，有哪些政策曾被紧急叫停？,国内
艺术大师捐赠158件藏品失踪 家属发声明追索,国内
研究称喜马拉雅山大地震酝酿成熟 或达8级以上,国内
多省份公布2015年平均工资 看你家乡工资有多高,国内
商事改革怎么推?央企怎么改?总理重点强调这三字,国内
12省输出16万高招指标：因高校多 本省生源不够,国内
李河君宣布辞任汉能薄膜执行董事 即日起生效,国内
＂中原首家五星会所＂被查 消费者不仅很黄还贵,国内
山西深度反腐＂两手抓＂ 300多名空缺干部多数配齐,国内
江西落马局长老板没本事能力 赚钱却远超自己,国内
兰州速录员称单位不签合同不交社保 已申请仲裁,国内
多次成为总书记＂座上宾＂ 这4人有何过人之处,国内
毒地事件再发酵 常隆化工等三家企业被诉,国内
湖南落马官员喜欢跟女人在一起 不检点是时尚,国内
曝辽宁原政法委书记苏宏章用大额黄金制品行贿,国内
香港城市大学天台顶棚倒塌 目前已有3人受伤,国内
雷闯徒步进京推动乙肝药降价要像蚊子 不停发声,国内
国资委：央企纵向横向重组不会出现新的垄断,国内
张家口决定草原天路取消收费为方便游客旅游,国内
国务院决定吴清任上海证券交易所党委书记,国内
天津国际集团公司原党委副书记迟捷被开除党籍,国内
辽宁舰舰长张峥大校已出任海军参谋长助理(图),国内
足协取消武汉宏兴俱乐部注册资格 8人被禁赛,国内
公安部领导班子大调整副部长黄明为正部长级,国内
外交部不论台发生什么变化 中国政府立场不变,国内
中方：将依法处理妄图颠覆中国国家政权组织,国内
河北沧州新能源车补贴资金缺6亿 官方：保证落实,国内
国台办负责人就当前两岸关系发表谈话,国内
中国国民党发布新闻稿 蔡英文避谈九二共识,国内
南洋理工学院女大学生毕业季穿白纱告别校园(图),国内
网传杨绛病危 三联书店前总编辑没有说她病危,国内
检察机关已对125名涉嫌非法经营疫苗犯罪批捕,国内
媒体传杨绛先生病危 家中电话无人接听(图),国内
落马官员情妇经济学官员成为其敛财＂棋子＂(图),国内
德阳原市委常委、副市长杨恩林被逮捕(图),国内
郑州警方夜查红馆异地调警 知情者涉黄＂比较乱＂,国内
陕西4所虚假大学被曝光 校名简介均系仿冒抄袭,国内
四川德阳原副市长杨恩林涉嫌受贿罪被逮捕,国内
湖北高考改革2021年起不分文理科 减少加分项,国内
药价＂腰斩＂ 肺癌乙肝三种药品最高降价67％,国内
香港一超市外发现高射炮弹壳 警方获报调查,国内
上海成立国内首个＂首席科学家办公室＂,国内
南京艺博会搬到酒店开展 可直接私洽大师作品,国内
河南焦作2名官员因涉嫌严重违纪接受组织调查,国内
世博气球变身雾霾＂哨兵＂ 华理奉贤校区建成观测 ,国内
国家药品价格谈判 乙肝药品降价,国内
北京北五环运巨型佛像大车侧翻 砸扁路过车致拥 ,国内
王小洪履新公安部副部长 3年里4次职务调整(图),国内
多景区推＂中国旅游日＂半价优惠 游客却不感冒,国内
西双版纳放生野生动物 蜂猴钳嘴鹳结伴“回家”,国内
承诺30天无忧退货  网易严选打造极致购物体验,国内
云南副教授被指与女生关系暧昧 校方对其停职调 ,国内
郑州至欧洲班列往返开行平衡 每周进出境各三班,国内
暨大师生因电话诈骗4个月失65万 买试题被骗5万,国内
河南人大代表＂冒领百万补偿款＂事件举报人遭威胁,国内
全国首个机器人学院在京成立 今年首次招生100人,国内
税务智能“机器人”与纳税人互动 近14万条问答,国内
国务院：王小洪任公安部副部长 张涛任央行副行 ,国内
合肥房价飙涨乱象326名卖房者反悔 乐当被告,国内
全球首台人机协作双臂机器人首秀武汉（图）,国内
武汉＂自学直考＂第一本驾照出炉 花费不足2000,国内
长江中游发现史前遗址 距今约8000年,国内
贪官敛财五大奇葩理由：贪4744万只为静静欣赏,国内
网曝云南某副教授与女学生暧昧 学校已停职调查,国内
故宫六殿＂掌灯＂点亮紫禁城 启动室内灯光照明,国内
快递小哥坚持验货拦下300公斤冰毒 警方奖励10万,国内
亏损公司撞名《欢乐颂》剧内公司 股价连涨三天,国内
二线城市房价涨幅扩大 地方酝酿新一轮降温调控,国内
媒体：别让彩礼致贫遮蔽年轻人的诗和远方,国内
传销人员饿得没法过了 “请”警察“帮忙”,国内
中国护士数量缺口达几百万 薪酬低导致留不住人,国内
广东允许快递专用电动车上路 允许临时停靠作业,国内
